"PLAYER_ID","PLAYER_NAME","TEAM_ABBREVIATION","GP","MIN","PTS","REB","AST","STL","BLK","FG_PCT","FG3_PCT","FT_PCT","TOV","PLUS_MINUS","SEASON"
204456,"T.J. McConnell","IND",69,26.032,8.638,3.71,6.609,1.855,0.333,0.553,0.171,0.232,1.957,1.014,"2020-21"
1626143,"Jahlil Okafor","DET",27,12.861,5.37,2.444,0.481,0.222,0.185,0.611,0.056,0.256,0.778,-3.074,"2020-21"
1626145,"Tyus Jones","MEM",70,17.465,6.314,2,3.7,0.914,0.086,0.421,0.249,0.288,0.686,-1.214,"2020-21"
1626149,"Montrezl Harrell","LAL",69,22.903,13.493,6.203,1.058,0.667,0.71,0.597,0,0.587,1.072,0.609,"2020-21"
1626153,"Delon Wright","DET",36,29.226,10.389,4.556,5.028,1.611,0.528,0.454,0.28,0.431,1.333,-1.639,"2020-21"
1626153,"Delon Wright","SAC",27,25.771,10.037,3.889,3.593,1.593,0.407,0.404,0.315,0.318,1.296,-1.815,"2020-21"
1626156,"D'Angelo Russell","MIN",42,28.482,18.952,2.643,5.81,1.071,0.429,0.441,0.384,0.562,2.667,-4.643,"2020-21"
1626157,"Karl-Anthony Towns","MIN",50,33.778,24.78,10.58,4.5,0.78,1.14,0.497,0.412,0.805,3.2,0.22,"2020-21"
1626158,"Richaun Holmes","SAC",61,29.203,14.246,8.262,1.656,0.639,1.574,0.619,0.033,0.618,1.23,0.148,"2020-21"
1626159,"Justise Winslow","MEM",26,19.502,6.846,4.538,1.923,0.577,0.462,0.335,0.126,0.269,1.423,-2.962,"2020-21"
1626161,"Willie Cauley-Stein","DAL",53,17.093,5.283,4.453,0.66,0.396,0.811,0.586,0.009,0.308,0.547,2.604,"2020-21"
1626162,"Kelly Oubre Jr.","GSW",55,30.683,15.436,5.982,1.327,1.036,0.764,0.426,0.281,0.657,1.273,-3.455,"2020-21"
1626163,"Frank Kaminsky","PHX",47,15.209,6.596,4,1.681,0.298,0.362,0.423,0.257,0.348,0.468,1.191,"2020-21"
1626164,"Devin Booker","PHX",67,33.881,25.552,4.194,4.313,0.791,0.239,0.481,0.315,0.839,3.09,4.94,"2020-21"
1626166,"Cameron Payne","PHX",60,17.991,8.417,2.4,3.617,0.6,0.267,0.456,0.395,0.354,1,2.95,"2020-21"
1626167,"Myles Turner","IND",47,30.964,12.596,6.511,1.021,0.851,3.383,0.459,0.32,0.551,1.426,0.532,"2020-21"
1626168,"Trey Lyles","SAS",23,15.558,5,3.739,0.609,0.261,0.043,0.335,0.191,0.261,0.261,-4.696,"2020-21"
1626169,"Stanley Johnson","TOR",61,16.485,4.377,2.508,1.459,0.852,0.295,0.301,0.241,0.205,0.885,-2.59,"2020-21"
1626171,"Bobby Portis","MIL",66,20.791,11.424,7.061,1.076,0.788,0.394,0.512,0.382,0.364,0.848,2.061,"2020-21"
1626172,"Kevon Looney","GSW",61,19.028,4.115,5.279,1.951,0.344,0.361,0.551,0.057,0.23,0.607,2.131,"2020-21"
1626174,"Christian Wood","HOU",41,32.339,20.976,9.634,1.732,0.829,1.171,0.518,0.359,0.587,1.951,-2.415,"2020-21"
1626179,"Terry Rozier","CHA",69,34.542,20.391,4.377,4.246,1.261,0.377,0.438,0.37,0.649,1.855,-1.29,"2020-21"
1626181,"Norman Powell","POR",27,34.375,17.037,3.296,1.926,1.296,0.37,0.432,0.352,0.681,1.556,3.63,"2020-21"
1626181,"Norman Powell","TOR",42,30.413,19.595,3,1.833,1.119,0.19,0.476,0.417,0.734,1.833,-0.452,"2020-21"
1626184,"Chasson Randle","ORL",41,20.416,6.488,2,1.805,0.537,0.122,0.369,0.273,0.378,1.122,-6.463,"2020-21"
1626192,"Pat Connaughton","MIL",69,22.822,6.783,4.812,1.174,0.71,0.333,0.415,0.329,0.178,0.478,3.232,"2020-21"
1626195,"Willy Hernangomez","NOP",47,18.004,7.766,7.106,1.064,0.468,0.489,0.511,0.021,0.408,0.723,-0.298,"2020-21"
1626196,"Josh Richardson","DAL",59,30.333,12.119,3.305,2.593,1.034,0.407,0.422,0.326,0.598,1.339,-0.78,"2020-21"
1626204,"Larry Nance Jr.","CLE",35,31.185,9.343,6.714,3.057,1.743,0.486,0.468,0.329,0.348,1.571,-3.886,"2020-21"
